startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,pol_feeling_1,pol_feeling_2,pol_feeling_3,rep_pov,dem_pov,vote_registr,vote1,vote2,vote3_1,follow_politics,follow_trump,news_source_3_1,news_source_3_2,news_source_3_3,news_source_3_4,news_source_3_10,news_source_3_5,news_source_3_6,news_source_3_11,read_news,q106_firstclick,q106_lastclick,q106_pagesubmit,q106_clickcount,news_knowledge_5,news_knowledge_6,news_knowledge_7,news_knowledge_8,news_knowledge_9,news_knowledge_10,news_knowledge_11,news_knowledge_12,news_knowledge_13,news_knowledge_14,news_knowledge_15,news_knowledge_16,news_knowledge_17,news_knowledge_18,news_knowledge_19,attitude_trade_1,attitude_race_1,attitude_metoo_1,attitude_kavanaugh_1,attitude_immigration_1,attitude_mueller_1,attitude_gun_1,attitude_media_1,attitude_trump_1,swb_happiness,swb_relhappiness,swb_swl1,swb_swl2,swb_swl3,swb_lnlns1,swb_lnlns2,swb_lnlns3,swb_eurhappsvy_4,swb_eurhappsvy_5,swb_eurhappsvy_6,swb_eurhappsvy_7,leisure_activities1,leisure_activities3_1,leisure_activities3_2,leisure_activities3_3,leisure_activities3_4,leisure_activities3_5,fb_minutes,fb_soclife_1,fb_goodbad_1,fb_society_1,fb_happy_1,fb_habit_1,fb_betterfollownews_1,fb_morefakenews_1,fb_polarize_1,deact_24h_goodbad_1,deact_4wk_goodbad_1,deactiv_yesno,wta3,wta_understanding1,wta_understanding2,fb_use_plan,agenda,followup,id,second_4weeks_num2,first_question_counts,accept_second_4weeks,second_4weeks_num1,wta1,wta2,lowqual,first_4weeks_num,t,friends_met_number,rep_angry_length,dem_angry_length,fb_posimp_length,fb_posimp_log,fb_negimp_length,fb_negimp_log
2018-11-08 00:02:48,2018-11-08 00:19:40,IP Address,100,1011,True,2018-11-08 00:19:40,R_3rVgljeVQ0cgJMD,,email,EN,0,19,61,Two or three times,Two or three times,Indiana,Yes,Other/don't know,,Somewhat closely,Somewhat closely,A lot less,A little more,A little more,A little less,A little less,A lot more,A lot more,A lot more,20,12.741,77.524,78.904,46,True,True,True,True,True,True,True,Unsure,True,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,0,7,6,3,3,4,0,8,6,5,7 (more happy),Strongly agree,Agree,Strongly agree,Hardly ever,Hardly ever,Some of the time,2.,2.,4. All or almost all of the time.,3.,"Go out for dinner,Talk to friends on the phone,Go to a shopping mall",A little less,A lot more,A lot more,A little more,A little more,120,5,5,3,3,6,8,2,8,,8,Yes,75,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,I am not sure.,Yes,1401,0,1,0,0,25,20,0,102,1,0.6931472,42.0,74.0,37.0,3.637586,30.0,3.4339871
2018-11-08 00:01:55,2018-11-08 00:19:55,IP Address,100,1079,True,2018-11-08 00:19:55,R_1hYj9PdcE2odLf5,,email,EN,36,42,33,Never,Never,Utah,No,Other/don't know,,Not at all closely,Not at all closely,Same,Same,Same,Same,A little more,Same,A little more,Same,10,12.462,38.476,39.426,15,Unsure,Unsure,True,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,6,7,8,5,10,5,3,5,5,5,4,Disagree,Slightly agree,Agree,Hardly ever,Hardly ever,Hardly ever,2.,3.,2.,3.,"Go out for dinner,Interact with someone from another country,Get together with friends,Spend time with your parents",Same,Same,A lot more,Same,A little more,15,5,10,4,5,8,7,10,5,4,,Yes,100000,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,"No, I don't think they had a particular agenda.",No,20239,0,0,0,0,100000,1000,0,0,0,0.6931472,3.0,3.0,93.0,4.543295,20.0,3.0445225
2018-11-08 00:01:43,2018-11-08 00:20:10,IP Address,100,1107,True,2018-11-08 00:20:11,R_2ircQITGngjJNFD,,email,EN,97,13,0,Never,Four times or more,Minnesota,Yes,Democratic candidate,7,Somewhat closely,Somewhat closely,A little more,Same,A little more,A little more,Same,Same,Same,Same,20,4.091,103.427,104.256,51,Unsure,Unsure,True,Unsure,Unsure,Unsure,True,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,10,8,3,0,10,7,10,4,0,5,5,Slightly agree,Slightly agree,Slightly agree,Hardly ever,Hardly ever,Hardly ever,2.,2.,2.,2.,"Interact with someone from another country,Spend time with your parents,Spend time with your kids",Same,Same,Same,Same,Same,75,2,4,5,3,8,6,6,5,8,,Yes,200,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,"Yes, I think they wanted to show that Facebook is bad for people.",No,1424,0,0,0,0,200,100,0,0,0,0.6931472,55.0,4.0,13.0,2.6390574,8.0,2.1972246
2018-11-08 00:02:11,2018-11-08 00:20:14,IP Address,100,1082,True,2018-11-08 00:20:15,R_2D0lvIzYRzuzfZK,,email,EN,65,10,0,Never,Once,California,Yes,Democratic candidate,30,Somewhat closely,Somewhat closely,Same,Same,Same,Same,A little more,Same,A little more,A little more,45,4.773,108.631,110.057,76,True,True,True,True,Unsure,False,True,False,True,Unsure,False,Unsure,False,Unsure,False,7,10,10,4,7,10,8,10,0,7 (a very happy person),7 (more happy),Agree,Agree,Agree,Hardly ever,Hardly ever,Hardly ever,1. None or almost none of the times,3.,4. All or almost all of the time.,2.,"Go out for dinner,Talk to friends on the phone,Spend time with your parents",A little more,A little more,Same,Same,Same,20,4,4,4,3,8,4,10,10,9,,Yes,100,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"No, I don't think they had a particular agenda.",Yes,2904,0,1,0,0,200,200,0,0,0,1.0986123,95.0,4.0,42.0,3.7612002,9.0,2.3025851
2018-11-08 00:02:05,2018-11-08 00:20:23,IP Address,100,1097,True,2018-11-08 00:20:23,R_1laZBsiaIMgk9o0,,email,EN,30,0,0,Never,Once,Arkansas,Yes,Democratic candidate,10,Very closely,Rather closely,Same,A little less,A little more,A little more,Same,A lot less,A little less,Same,120,7.156,116.411,117.416,55,True,True,True,True,True,Unsure,True,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,False,False,7,8,6,1,7,9,6,4,0,4,4,Slightly agree,Disagree,Neither agree nor disagree,Often,Some of the time,Often,2.,2.,3.,3.,"Talk to friends on the phone,Interact with someone from another country,Spend time with your parents",Same,Same,A little less,A lot more,A little less,0,4,3,6,4,8,6,9,6,,7,Yes,100,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"No, I don't think they had a particular agenda.",No,2222,0,1,0,0,30,100,0,102,1,0.0,100.0,65.0,81.0,4.406719,265.0,5.583496
2018-11-08 00:01:59,2018-11-08 00:20:30,IP Address,100,1110,True,2018-11-08 00:20:31,R_31NHHLMccEqBPgM,,email,EN,70,10,0,Never,Never,California,Yes,Democratic candidate,0,Very closely,Very closely,A lot less,Same,A lot less,A lot less,A little less,A lot less,Same,A lot more,100,11.779,86.114,86.74,57,True,True,True,True,True,Unsure,True,False,Unsure,Unsure,Unsure,Unsure,False,True,False,8,10,0,3,10,9,8,2,0,7 (a very happy person),7 (more happy),Agree,Agree,Strongly agree,Hardly ever,Hardly ever,Hardly ever,1. None or almost none of the times,1. None or almost none of the times,3.,1. None or almost none of the times,"Go out for dinner,Talk to friends on the phone,Interact with someone from another country,Go to a party,Get together with friends,Spend time with your kids",A little less,Same,A lot less,Same,Same,0,3,4,3,4,10,0,7,7,8,,Yes,25,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 50% or more,"No, I don't think they had a particular agenda.",Yes,1303,0,1,0,0,50,50,0,0,0,1.0986123,153.0,49.0,18.0,2.944439,9.0,2.3025851
2018-11-08 00:01:29,2018-11-08 00:20:42,IP Address,100,1152,True,2018-11-08 00:20:42,R_3no5wF7o8GOUv7u,,email,EN,64,0,0,Once,Two or three times,Nevada,Yes,Democratic candidate,0,Very closely,Rather closely,Same,A little more,Same,Same,Same,A lot less,A little less,A lot more,60,3.117,140.573,145.813,72,True,True,True,True,True,False,True,False,Unsure,Unsure,False,Unsure,True,False,False,9,9,0,0,7,9,6,7,0,5,4,Slightly disagree,Slightly agree,Slightly agree,Hardly ever,Hardly ever,Hardly ever,2.,3.,2.,1. None or almost none of the times,"Go out for dinner,Interact with someone who voted the opposite way as you in the last presidential election,Interact with someone from another country,Get together with friends,Spend time with your parents",Same,Same,A little more,A little more,A little more,0,6,3,2,3,7,0,10,8,,8,Yes,20,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 50% or more,"No, I don't think they had a particular agenda.",Yes,1415,0,0,0,0,30,70,0,102,1,2.5649493,175.0,29.0,47.0,3.871201,26.0,3.295837
2018-11-08 00:05:34,2018-11-08 00:20:48,IP Address,100,914,True,2018-11-08 00:20:48,R_0TVM9o9qoJwFDQl,,email,EN,55,58,40,Two or three times,Two or three times,Alaska,Yes,Other/don't know,,Somewhat closely,Not at all closely,A little less,Same,A lot less,Same,A lot less,A lot less,Same,Same,60,6.612,103.725,123.62,27,True,True,True,False,True,False,True,False,Unsure,False,Unsure,False,True,False,True,9,6,7,3,10,6,6,8,5,5,6,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Often,Often,Some of the time,1. None or almost none of the times,2.,3.,3.,"Go out for dinner,Talk to friends on the phone,Interact with someone from another country",A little less,A little less,Same,Same,Same,40,4,6,5,5,8,9,7,5,6,,Yes,200,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"No, I don't think they had a particular agenda.",Yes,23612,0,0,0,0,200,200,0,0,0,1.3862944,100.0,37.0,41.0,3.7376697,143.0,4.9698133
2018-11-08 00:03:27,2018-11-08 00:21:01,IP Address,100,1053,True,2018-11-08 00:21:02,R_1q2tIrqwrpJsbkz,,email,EN,0,76,53,Never,Never,Utah,Yes,Republican candidate,100,Somewhat closely,Somewhat closely,A lot less,A lot less,A lot less,A lot less,A lot less,A lot less,A lot less,A lot less,0,3,89.254,90.437,61,True,Unsure,True,True,True,Unsure,Unsure,True,True,True,Unsure,False,Unsure,Unsure,True,3,1,7,10,2,10,10,10,3,7 (a very happy person),7 (more happy),Strongly disagree,Strongly disagree,Strongly disagree,Hardly ever,Hardly ever,Hardly ever,1. None or almost none of the times,1. None or almost none of the times,3.,1. None or almost none of the times,"Go out for dinner,Interact with someone who voted the opposite way as you in the last presidential election,Interact with someone from another country",A lot less,A lot less,A lot less,A little less,A lot more,0,2,2,2,2,10,2,10,10,10,,Yes,400,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 50% or more,"Yes, I think they wanted to show that Facebook is bad for people.",Yes,11949,0,1,0,0,450,400,0,0,0,2.0794415,4.0,43.0,27.0,3.3322046,19.0,2.9957323
2018-11-08 00:09:27,2018-11-08 00:21:03,IP Address,100,695,True,2018-11-08 00:21:04,R_2pWZmupDelrdEUF,,email,EN,67,43,64,Once,Two or three times,Massachusetts,Yes,Democratic candidate,37,Not at all closely,Not at all closely,A lot less,A little less,A little less,Same,Same,Same,Same,Same,10,1.406,44.812,45.308,55,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,False,Unsure,Unsure,Unsure,Unsure,True,True,Unsure,False,7,6,7,5,8,1,10,4,7,5,5,Neither agree nor disagree,Slightly agree,Agree,Some of the time,Hardly ever,Hardly ever,1. None or almost none of the times,2.,3.,3.,"Talk to friends on the phone,Interact with someone who voted the opposite way as you in the last presidential election,Interact with someone from another country,Go to a party,Go to a shopping mall,Spend time with your parents",Same,A lot more,Same,Same,A little more,20,6,6,5,5,7,7,6,5,6,,Yes,25,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"Yes, I think they wanted to show that Facebook is bad for people.",No,16240,0,1,0,0,50,50,0,0,0,2.7080503,4.0,4.0,46.0,3.8501475,33.0,3.5263605
2018-11-08 00:03:49,2018-11-08 00:21:14,IP Address,100,1045,True,2018-11-08 00:21:15,R_3jeCqNhKxgAPky9,,email,EN,43,6,0,Never,Once,Michigan,Yes,Democratic candidate,25,Somewhat closely,Somewhat closely,Same,Same,Same,Same,Same,A little more,A little more,A little more,60,19.646,102.022,103.001,15,True,True,True,True,True,Unsure,True,Unsure,Unsure,Unsure,Unsure,False,Unsure,True,Unsure,6,7,6,3,7,7,5,5,0,2,3,Disagree,Disagree,Disagree,Often,Some of the time,Often,3.,3.,3.,3.,,Same,Same,Same,Same,Same,120,5,6,4,5,6,6,6,6,6,,Yes,18,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,"No, I don't think they had a particular agenda.",Yes,21503,0,1,0,0,99,44,0,0,0,0.0,113.0,0.0,48.0,3.8918202,33.0,3.5263605
